,delta,alpha
0,0.0,0.0
1,0.0001,3.761584659582549e-12
2,0.0002,3.0098201204781867e-11
3,0.00030000000000000003,1.0160002605251784e-10
4,0.0004,2.4087366337620915e-10
5,0.0005,4.705420427801167e-10
6,0.0006000000000000001,8.132443172782834e-10
7,0.0007,1.2916357609221654e-09
8,0.0008,1.9283876675022417e-09
9,0.0009000000000000001,2.7461872498313957e-09
10,0.001,3.767737537556959e-09
11,0.0011,5.0157572777182e-09
12,0.0012000000000000001,6.512980833917881e-09
13,0.0013000000000000002,8.282158087000559e-09
14,0.0014,2.80897744130299e-11
15,0.0015,3.702355629535568e-11
16,0.0016,4.793688428599249e-11
17,0.0017000000000000001,6.110294297653387e-11
18,0.0018000000000000002,7.681266327059851e-11
19,0.0019,9.537473957192368e-11
20,0.002,1.1711564006955575e-10
21,0.0021000000000000003,1.4237962278555081e-10
22,0.0022,1.7152875058344855e-10
23,0.0023,2.0494290332825716e-10
24,0.0024000000000000002,2.430197904162409e-10
25,0.0025,2.861749665917357e-10
26,0.0026000000000000003,3.348418449303113e-10
27,0.0027,3.8947170924490727e-10
28,0.0028,4.505337274700512e-10
29,0.0029000000000000002,5.185149661820755e-10
30,0.003,5.93920402420435e-10
31,0.0031000000000000003,6.772729349439868e-10
32,0.0032,7.691134007741504e-10
33,0.0033,8.700005841901372e-10
34,0.0034000000000000002,9.805112311456694e-10
35,0.0035,1.1012400626211268e-09
36,0.0036000000000000003,1.232799784330193e-09
37,0.0037,1.3758211029881865e-09
38,0.0038,1.5309527324985908e-09
39,0.0039000000000000003,1.6988614118049856e-09
40,0.004,1.880231912146877e-09
41,0.0041,2.0757670552035637e-09
42,0.004200000000000001,2.2861877182276556e-09
43,0.0043,2.512232846228877e-09
44,0.0044,2.7546594699659636e-09
45,0.0045000000000000005,3.0142427092272437e-09
46,0.0046,3.291775790045415e-09
47,0.0047,3.588070054391749e-09
48,0.0048000000000000004,3.9039549651909456e-09
49,0.0049,4.240278129654939e-09
50,0.005,4.597905298955519e-09
51,0.0051,4.977720387525547e-09
52,0.005200000000000001,5.380625472791349e-09
53,0.0053,5.8075408192048564e-09
54,0.0054,6.259404881514459e-09
55,0.0055000000000000005,6.737174309469059e-09
56,0.0056,7.241823973086533e-09
57,0.0057,7.774346958497313e-09
58,0.0058000000000000005,8.335754588877346e-09
59,0.0059,8.927076422310958e-09
60,0.006,9.54936027440419e-09
61,0.0061,1.207068161242787e-10
62,0.006200000000000001,1.309509847780229e-10
63,0.0063,1.4187980157480363e-10
64,0.0064,1.535270869792183e-10
65,0.006500000000000001,1.6592776405218413e-10
66,0.0066,1.791178632506277e-10
67,0.0067,1.9313455834831704e-10
68,0.0068000000000000005,2.0801617861613264e-10
69,0.006900000000000001,2.2380221985361057e-10
70,0.007,2.4053336935149284e-10
71,0.0071,2.582515248621471e-10
72,0.007200000000000001,2.769998058708265e-10
73,0.0073,2.9682257774858294e-10
74,0.0074,3.177654623892603e-10
75,0.007500000000000001,3.3987536776120493e-10
76,0.0076,3.6320049598666277e-10
77,0.0077,3.877903618679768e-10
78,0.0078000000000000005,4.1369582060369675e-10
79,0.0079,4.4096906718087414e-10
80,0.008,4.696636771219184e-10
81,0.0081,4.998346056752358e-10
82,0.0082,5.315382200825067e-10
83,0.0083,5.648322994533374e-10
84,0.008400000000000001,5.99776078484874e-10
85,0.0085,6.364302384155029e-10
86,0.0086,6.748569452843473e-10
87,0.008700000000000001,7.151198596564883e-10
88,0.0088,7.572841532114059e-10
89,0.0089,8.01416524983602e-10
90,0.009000000000000001,8.475852374913157e-10
91,0.0091,8.958601067462205e-10
92,0.0092,9.463125382360354e-10
93,0.009300000000000001,9.990155453779517e-10
94,0.0094,1.0540437553505816e-09
95,0.0095,1.1114734482919452e-09
96,0.009600000000000001,1.1713825481978821e-09
97,0.0097,1.2338506648209408e-09
98,0.0098,1.2989590926947788e-09
99,0.0099,1.3667908546875284e-09
100,0.01,1.4374306866275717e-09
101,0.010100000000000001,1.5109650824646196e-09
102,0.0102,1.5874823032324224e-09
103,0.0103,1.667072387858853e-09
